index,origin,ea,size,h4,h8,h16,h32,h64
1498.0,1244.0,7718.270496014751,949597.0,3.819723864025923,5.588109850863608,7.139049423553375,8.728406163611238,10.371745930687664
1499.0,997.0,6373.03263000424,727571.0,2.8955858048748646,4.06192498107465,5.5420401927558345,7.190370977803961,8.891176422672302
1500.0,1439.0,9543.244829361009,757846.0,3.934215375935776,5.775145440748847,7.433377842184839,9.012979512141008,10.695584016128356
1501.0,1217.0,5347.387405059324,294129.0,3.260237079577069,4.309569116276003,5.813671654156516,7.553635440746267,9.410852769740334
1502.0,1302.0,11520.589418665508,664351.0,3.5774932146363425,4.970631833289044,6.469118724479053,8.043102932519398,9.691702294572348
1503.0,1390.0,5351.984748882564,223235.0,3.047448769224935,3.80988363561658,5.452932992909284,7.142169325567274,9.004779951610423
1504.0,1154.0,2632.926373713104,240021.0,3.967166460070695,5.297974153712959,6.501710882178809,8.22825005610877,10.047797690061264
1505.0,633.0,2813.1186028171924,2706710.0,3.872314165429344,5.338605384083478,6.802113994625847,8.479710043337796,10.237136682296684
1506.0,1494.0,11628.793245343351,811806.0,3.8278335506252135,5.293962031072175,6.6367421867421,8.088563798534974,9.695775736224672
1507.0,1503.0,922.6541810588972,672668.0,3.655903685521296,4.697566246024179,6.129108944734572,7.837171962311881,9.677562739472917
1508.0,1390.0,1175.4115913907344,1674917.0,3.903189529570575,5.096843487900817,5.940080902131028,7.516673591520739,9.286884219833505
1509.0,1503.0,6654.519398597946,1017411.0,3.621884257675929,4.697293846044358,6.038774947183979,7.6070264490820865,9.301890679300822
1510.0,848.0,7305.192345241697,645568.0,3.296953650823736,4.761462364687239,6.461544564999742,8.20698734820967,9.949953319541992
1511.0,1503.0,2360.5727964768257,171139.0,3.9997465832496735,5.695080250718524,5.950626161151008,7.479253981854626,9.210106354457452
1512.0,1503.0,9358.54201942045,1062112.0,3.92686034370176,5.559753247779207,7.1368934397099535,8.655367618679449,10.26482508577738
1513.0,1390.0,5229.810751729719,182446.0,3.835794316868398,5.162248415734528,5.889872749498776,7.384881409746733,9.18294008445531
1514.0,1390.0,9213.91204916778,1674389.0,3.796223871798088,5.139761349232696,6.5060080066217765,7.972813269803773,9.536313777054623
1515.0,1288.0,11011.836900180162,870498.0,3.2432939928850524,3.993560274166371,5.450771198273081,7.155081543473904,8.96006341724802
1516.0,1503.0,8192.547762441407,1021472.0,2.957125597075448,4.4275439959318295,5.841510527940201,7.540316661394105,9.256849861335125
1517.0,1288.0,6141.517594549892,1291448.0,3.7615668364636665,5.343503476122376,6.856044454712343,8.456990882578257,10.066650405317157
1518.0,1503.0,2907.6149187769943,425075.0,3.2681626607270458,4.195504250255882,5.595805590215647,7.2902418575555235,9.100245637135284
1519.0,1061.0,491.8878034496613,2887125.0,3.906434853567162,4.993681388169216,6.204375597468581,7.844979744930706,9.630301359273185
1520.0,1503.0,9657.025144844296,1054924.0,3.810283140680984,5.414095565712755,6.997383084945627,8.586917566212081,10.25424844800687
1521.0,859.0,8053.742583816015,1355133.0,3.918224332955,5.579927051247298,7.205253290521993,8.837217764016412,10.52555216513816
1522.0,1302.0,1047.6016447281718,300961.0,3.8596151258716462,5.19912043164871,5.942206685093392,7.526528151071695,9.36499672698183
1523.0,1503.0,657.6598068205909,533818.0,3.779922452804197,5.337922941231948,5.898400152307643,7.556730315458783,9.32902773052864
1524.0,1390.0,1624.3778487243071,474730.0,3.2846922488026644,4.355615449798579,5.828461453414116,7.571691633695107,9.40441449429748
1525.0,1390.0,2298.381701152253,351995.0,3.1834410112942386,4.337223741953996,5.833732237307864,7.522399325639025,9.294574144143004
1526.0,1263.0,2247.20563892738,1306146.0,3.735913480137096,5.253625125229544,6.597897030721549,8.035865435752338,9.601095328476696
1527.0,1011.0,5386.120430067208,119335.0,3.9996096278685913,5.9733050495260125,6.039026875328237,7.313461886191274,9.05297273914399
1528.0,1390.0,5228.749367664726,1081993.0,3.526226520911413,4.698751251119724,6.13568854884136,7.646793443196576,9.270203486419405
1529.0,1061.0,6502.166304000188,1277700.0,3.91491948090076,5.7826995345485095,7.47783289614797,9.089052952183376,10.685593987909648
1530.0,1503.0,5167.226174084277,1025029.0,3.14834860024772,4.124609324481579,5.464853592816158,7.098593573953231,8.881624237527317
1531.0,1215.0,2441.0121485250465,384740.0,3.375370985457822,4.352789125014885,5.517044428950787,6.8787975836303925,8.592914934239124
1532.0,1292.0,4570.459152163211,1062072.0,3.8168769755596,5.4907609534972215,6.929109348291231,8.387872168639383,9.939392304089306
1533.0,1390.0,1486.1325069046277,514331.0,3.90760690746088,4.7697128292220565,5.955985325172739,7.646547072433977,9.45479052376725
1534.0,754.0,2310.766600845592,1537953.0,3.999796595658084,5.960330899826554,6.166574586204266,7.53782336140832,9.385086416907104
1535.0,1503.0,2473.387943283329,294961.0,3.873633962058676,5.015773370239367,5.710550394150928,7.296150428532224,9.11830128015565
1536.0,850.0,5308.1855693418565,134065.0,3.997003432066053,5.218182582769433,6.037312815965255,7.656944178372507,9.518993451456597
1537.0,1390.0,3701.947646180035,1379478.0,3.967918440389089,4.848466318938074,6.002640596675699,7.545933655993289,9.261710542182168
1538.0,1503.0,3018.5918253193936,1417536.0,3.72933937628209,5.2125666562257615,6.918678450006413,8.526324512236446,10.151363397811023
1539.0,1503.0,7465.845760829428,598696.0,2.971454032069256,4.309449761109115,5.885126133897692,7.606065415631679,9.30284053665901
1540.0,1288.0,398.7518148212852,1126828.0,3.9840868470497823,4.937150606076576,5.991494727963127,7.765815696644008,9.57344091336487
1541.0,1045.0,2905.7590243033087,314197.0,3.83239020681806,4.5427327073401385,5.717976335703277,7.368259191297544,9.186404209106502
1542.0,1312.0,2374.4379665276088,193214.0,3.941800999197137,5.457218004366267,6.432087308535635,8.179727075789781,10.064092712327769
1543.0,1503.0,9627.413543838922,1108430.0,3.951642503448497,5.728851005606206,7.301579264324559,8.77556406796679,10.404138526864102
1544.0,734.0,1138.5854301825898,762479.0,3.7788412274319176,4.490882878146042,5.927863932540855,7.681390215630038,9.562765044598288
1545.0,1128.0,1172.1912044357268,1033952.0,3.926987912942237,5.6524777572733065,6.204859068152031,7.727340420741729,9.526728511742116
1546.0,1390.0,5345.9975148911935,286334.0,3.672589358693551,5.094748716665946,6.518155340211279,8.243188218412238,10.120017820378084
1547.0,493.0,7064.821312870112,1036366.0,3.80692564308988,5.608248332156123,7.303283235616217,8.737212053431726,10.252147465828685
1548.0,1390.0,7336.359368746094,1435922.0,3.801667148254789,5.159644707136142,6.690394183684008,8.081200405485337,9.534916490341429
1549.0,633.0,7700.4517603420445,776699.0,3.93401252631323,5.468302010572463,6.8759982905158,8.341464436592148,10.03092213534498
1550.0,633.0,5890.129932124834,1397460.0,3.526109106380858,4.9690039128558166,6.360651899983735,7.898264968058255,9.452224867071946
1551.0,61.0,800.7968808929836,1146558.0,3.760742964421564,5.283676653117425,6.633633102335034,8.192849248556419,9.90644581179522
1552.0,1503.0,4420.359081561357,1209192.0,3.8215267240885376,5.2038727464445245,6.766652393571843,8.340722069138577,9.924165468037272
1553.0,1531.0,2356.260756935739,950078.0,3.5017975039402955,4.3948851078030735,5.233656496244423,6.739008436017238,8.432706147647309
1554.0,1252.0,2101.792761193459,305792.0,3.461954046835187,4.517589659775555,6.043968114706739,7.799839226660752,9.66452779035896
1555.0,1531.0,5396.099597026047,1228411.0,3.871436080583636,5.722877662026578,7.263684501367335,8.739896148311644,10.332089673004829
1556.0,1503.0,1928.6215011816355,194718.0,3.650583812748293,4.840780764253849,5.876353018860973,7.48866864451896,9.32660734716744
1557.0,801.0,5081.312428174301,423114.0,3.979224672675055,4.721660903611534,5.877497858914937,7.610503506227922,9.476612054243631
1558.0,1154.0,6635.7533580078925,1171651.0,3.9124238880643656,5.818512612837278,7.383180365665045,8.95195407858552,10.62349424179482
1559.0,1390.0,8606.582255993102,845446.0,3.86180587017167,5.539339958787776,7.075909070753451,8.676158804764416,10.39362428682093
1560.0,1390.0,2308.791947602908,162444.0,3.9775963530585248,5.3862984503679785,6.036771133411076,7.732340844514569,9.586216858194762
1561.0,1288.0,3083.184992188498,1115381.0,3.700516035391254,5.274227061797047,6.826208923169491,8.351884111155599,9.886924423331385
1562.0,1503.0,3007.0374236925727,1578833.0,3.9778776672888574,5.148940268905283,6.172383419265276,7.899182198489811,9.75105861807517
